"Name","Region","index","centroid_long","centroid_lat","Population"
"BEDOK","EAST REGION",1,103.928408723481,1.32404749030162,280070
"BOON LAY","WEST REGION",2,103.70221716814,1.31478716135687,0
"BUKIT BATOK","WEST REGION",3,103.754731750873,1.35565837070942,169170
"BUKIT MERAH","CENTRAL REGION",4,103.823135107956,1.27548911884937,150130
"BUKIT PANJANG","WEST REGION",5,103.772997971594,1.36682217889631,139270
"BUKIT TIMAH","CENTRAL REGION",6,103.79069950364,1.32999676518845,82180
"CENTRAL WATER CATCHMENT","NORTH REGION",7,103.801196398814,1.37665108448515,0
"CHANGI","EAST REGION",8,103.997820153151,1.35031626372217,1850
"CHOA CHU KANG","WEST REGION",9,103.747190556539,1.38555593377975,191830
"CLEMENTI","WEST REGION",10,103.760751043562,1.31759180857739,98340
"HOUGANG","NORTH-EAST REGION",11,103.889800380391,1.36363763836112,228400
"JURONG EAST","WEST REGION",12,103.734796968341,1.32044230103206,76220
"JURONG WEST","WEST REGION",13,103.70490241451,1.34161198840907,260280
"PASIR RIS","EAST REGION",14,103.948287257562,1.37861780148028,147290
"PIONEER","WEST REGION",15,103.672987421136,1.31258508872053,0
"PUNGGOL","NORTH-EAST REGION",16,103.910046048442,1.40536452927812,195070
"QUEENSTOWN","CENTRAL REGION",17,103.784567498066,1.28908287892755,99660
"SELETAR","NORTH-EAST REGION",18,103.877099247794,1.4143396791897,250
"SEMBAWANG","NORTH REGION",19,103.818828001156,1.45574697780215,109290
"SENGKANG","NORTH-EAST REGION",20,103.887708385465,1.39127948627174,258440
"SERANGOON","NORTH-EAST REGION",21,103.867818051576,1.36520156615475,119060
"KALLANG","CENTRAL REGION",22,103.866544098884,1.31112487536918,101130
"LIM CHU KANG","NORTH REGION",23,103.719285238051,1.43064333901194,0
"NORTH-EASTERN ISLANDS","NORTH-EAST REGION",24,104.034822910486,1.40164140411577,0
"NOVENA","CENTRAL REGION",25,103.835308906824,1.32698374591108,51470
"SIMPANG","NORTH REGION",26,103.852919322387,1.44408538691,0
"SOUTHERN ISLANDS","CENTRAL REGION",27,103.835848545799,1.24299890585243,2280
"SUNGEI KADUT","NORTH REGION",28,103.757461238481,1.41812621708521,680
"TOA PAYOH","CENTRAL REGION",29,103.861025874763,1.33668355661388,134820
"TUAS","WEST REGION",30,103.633103316514,1.28023440209882,0
"WESTERN ISLANDS","WEST REGION",31,103.709027973006,1.24954933824784,0
"WESTERN WATER CATCHMENT","WEST REGION",32,103.689729850422,1.38212989672602,620
"WOODLANDS","NORTH REGION",33,103.787704634063,1.4406814469159,255800
"RIVER VALLEY","CENTRAL REGION",34,103.833978267275,1.29804583931017,11550
"ROCHOR","CENTRAL REGION",35,103.853284403466,1.30413878724167,12590
"SINGAPORE RIVER","CENTRAL REGION",36,103.84120969762,1.29011465278302,3780
"STRAITS VIEW","CENTRAL REGION",37,103.858773196273,1.27125166109122,0
"CHANGI BAY","EAST REGION",38,104.026356719119,1.32742265589835,0
"MARINE PARADE","CENTRAL REGION",39,103.896272351097,1.30022761425076,46850
"DOWNTOWN CORE","CENTRAL REGION",40,103.855496991836,1.28678922453765,3760
"MARINA EAST","CENTRAL REGION",41,103.872351587834,1.28851738719689,0
"MARINA SOUTH","CENTRAL REGION",42,103.865628534665,1.28053129864283,0
"MUSEUM","CENTRAL REGION",43,103.846717165145,1.29591607054658,540
"NEWTON","CENTRAL REGION",44,103.838077795869,1.30866002330952,9230
"ORCHARD","CENTRAL REGION",45,103.833580429686,1.30380687311193,850
"OUTRAM","CENTRAL REGION",46,103.842060981808,1.28285843062554,17270
"TAMPINES","EAST REGION",47,103.954028912397,1.3437863136818,274630
"TANGLIN","CENTRAL REGION",48,103.817595009632,1.30837455458854,23920
"TENGAH","WEST REGION",49,103.728745628239,1.36385336929527,0
"MANDAI","NORTH REGION",50,103.802459677131,1.42362297660957,2060
"BISHAN","CENTRAL REGION",51,103.840436107342,1.35495542948928,88190
"ANG MO KIO","NORTH-EAST REGION",52,103.842097617197,1.3800939986541,161610
"GEYLANG","CENTRAL REGION",53,103.889522569246,1.32089553835682,115140
"PAYA LEBAR","EAST REGION",54,103.914778593933,1.35939811676916,0
"YISHUN","NORTH REGION",55,103.837117905117,1.41503943171225,229420
